,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,first infection,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.375,0.03749999999999999,0.1875,15.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8000000,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0
1.0,0.00031348643400675027,2.8802585368959535e-06,1.122412778742202,0.049862621085897285,0.0,0.02940002924600902,7999998.798008207,0.026534745944693593,0.00010854667849088438,0.375,0.03749999999999999,0.1875,15.0,1.8085755808081747e-05,1.2057170538721164e-05,8.166674790558061e-05,0,0.042534903567207044,0.00033168432430866993,0.0561206389371101,0.0009972524217179458,0.008975271795461513,0.4302539688537189,0.4209047288044574,0.0,0.009349240049261524,8000000,0.0,0.0,0.0,0.0,0.0561206389371101,7999999.999683636,0.1122412778742202,1.1722753998280993,0.4302539688537189
2.0,0.0022352316489316413,4.51117103298631e-05,1.4259250965900243,0.15603660299447247,0.0,0.1107479050459462,7999998.305010056,0.0897583561210177,0.0005025906475943113,0.375,0.03749999999999999,0.1875,15.0,0.00012895567205374852,8.597044803583236e-05,0.0003076330695720728,0,0.0986348803738141,0.0011219794515127213,0.07129625482950122,0.0031207320598894495,0.028086588539005048,0.5639786549511866,0.5347217980801446,0.0,0.029256856871041948,8000000,0.0,0.0,0.0,0.0,0.07129625482950122,7999999.997719661,0.14259250965900244,1.5819616995844967,0.5639786549511866
3.0,0.00611609231324815,0.00019813677825419496,1.8292840949519868,0.27490884373418983,0.0,0.229640875719307,7999997.6598519655,0.17051159316151315,0.0011620135298748542,0.375,0.03749999999999999,0.1875,15.0,0.00035285147961047015,0.00023523431974031345,0.0006378913214425194,0,0.13064811628245382,0.0021313949145189146,0.09146420474759934,0.005498176874683796,0.04948359187215417,0.7375267286489904,0.6859813354861318,0.0,0.0515453931628585,8000000,0.0,0.0,0.0,0.0,0.09146420474759934,7999999.99368578,0.18292840949519867,2.1041929386861766,0.7375267286489904
4.0,0.012093186458086947,0.0005394309595488748,2.361073713284783,0.414496911255896,0.0,0.3947197868719025,7999996.817076978,0.27445727491274347,0.0019654460233213818,0.375,0.03749999999999999,0.1875,15.0,0.0006976838341204008,0.00046512255608026717,0.0010964438524219515,0,0.14933754795898588,0.0034307159364092934,0.11805368566423916,0.008289938225117921,0.07460944402606128,0.9631204316706884,0.8854022916088544,0.0,0.07771814006183396,8000000,0.0,0.0,0.0,0.0,0.11805368566423916,7999999.987367391,0.2361073713284783,2.775570624540679,0.9631204316706884
5.0,0.020457784002130126,0.0011546109039179697,3.058901156397992,0.5843565800791458,0.0,0.617821661653001,7999995.717308213,0.408899846349198,0.0028237009972655724,0.375,0.03749999999999999,0.1875,15.0,0.001180256769353661,0.0007868378462357741,0.0017161712823694473,0,0.160393972193741,0.005111248079364975,0.1529450578198996,0.011687131601582917,0.10518418441424623,1.2566541230758541,1.1470873226701501,0.0,0.10956680040570409,8000000,0.0,0.0,0.0,0.0,0.1529450578198996,7999999.978387611,0.3058901156397992,3.6432577364771377,1.2566541230758541
6.0,0.03167657568252173,0.00214373048294674,3.97205494316681,0.7962389028417453,0.0,0.9148258307002569,7999994.283060024,0.583298960870315,0.0036751830995004225,0.375,0.03749999999999999,0.1875,15.0,0.0018274947509147152,0.0012183298339431437,0.002541182863056269,0,0.16698612303607527,0.0072912370108789365,0.1986027471583405,0.015924778056834905,0.14332300251151414,1.6388142337723717,1.4895195455470678,0.0,0.1492946882253039,8000000,0.0,0.0,0.0,0.0,0.1986027471583405,7999999.966179701,0.397205494316681,4.7682938460085555,1.6388142337723717
7.0,0.04642496013626636,0.0036286159869899598,5.1649850518939155,1.0649056071397622,0.0,1.3067826862605163,7999992.413273085,0.809935304088587,0.00448013065818042,0.375,0.03749999999999999,0.1875,15.0,0.0026783630847845973,0.0017855753898563986,0.003629951906279212,0,0.17093487918533395,0.010124191301107338,0.2582492525946958,0.021298112142795245,0.1916830092851572,2.13653718299916,1.9368675697662143,0.0,0.19966961323294552,8000000,0.0,0.0,0.0,0.0,0.2582492525946958,7999999.9499464305,0.5164985051893916,6.229890659033678,2.13653718299916
8.0,0.0656347882259474,0.005761745982833494,6.721850807474206,1.4091595411394366,0.0,1.8214051321364197,7999989.97618799,1.1047755364848733,0.005215309166933553,0.375,0.03749999999999999,0.1875,15.0,0.0037866223976508115,0.0025244149317672077,0.005059458700378943,0,0.17330681929087716,0.013809694206060916,0.3360925403737103,0.028183190822788733,0.25364871740509864,2.784908002191941,2.520690916928485,0.0,0.26421708526345633,8000000,0.0,0.0,0.0,0.0,0.3360925403737103,7999999.928603471,0.6721850807474206,8.131010348613643,2.784908002191941
9.0,0.09056000153086735,0.008737293393885317,8.752457354532748,1.8531622138526704,0.0,2.4950282651992275,7999986.800054881,1.4885972820042381,0.005869480953318334,0.375,0.03749999999999999,0.1875,15.0,0.005224615472934654,0.0034830769819564366,0.0069306340699978545,0,0.17473398908035628,0.018607466025052977,0.4376228677266374,0.03706324427705341,0.33356919849348066,3.629633479218602,3.2821661331280816,0.0,0.34746734609052005,8000000,0.0,0.0,0.0,0.0,0.4376228677266374,7999999.900702714,0.8752457354532748,10.605619568385418,3.629633479218602
