,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,18.0,5.0,0.0,0.0,8544499.0,0.0,5.0
27,19.0,6.0,0.0,0.0,8544495.0,0.0,7.0
28,21.0,7.0,0.0,0.0,8544491.0,0.0,9.0
29,22.0,8.0,0.0,0.0,8544486.0,0.0,10.0
30,24.0,9.0,0.0,0.0,8544481.0,0.0,13.0
31,26.0,10.0,0.0,0.0,8544475.0,0.0,15.0
32,29.0,11.0,0.0,0.0,8544469.0,0.0,18.0
33,31.0,12.0,0.0,0.0,8544463.0,0.0,21.0
34,34.0,13.0,0.0,0.0,8544455.0,0.0,24.0
35,37.0,15.0,1.0,0.0,8544447.0,0.0,27.0
36,41.0,16.0,1.0,0.0,8544438.0,0.0,31.0
37,44.0,18.0,1.0,0.0,8544429.0,0.0,35.0
38,48.0,19.0,1.0,0.0,8544418.0,0.0,40.0
39,53.0,21.0,1.0,0.0,8544407.0,0.0,45.0
40,58.0,23.0,1.0,0.0,8544394.0,0.0,51.0
41,63.0,25.0,1.0,0.0,8544380.0,0.0,57.0
42,69.0,28.0,1.0,0.0,8544365.0,0.0,63.0
43,75.0,30.0,1.0,0.0,8544349.0,0.0,71.0
44,82.0,33.0,1.0,0.0,8544331.0,0.0,78.0
45,90.0,36.0,2.0,0.0,8544312.0,0.0,87.0
46,98.0,40.0,2.0,1.0,8544290.0,0.0,96.0
47,107.0,43.0,2.0,1.0,8544267.0,0.0,107.0
48,117.0,47.0,2.0,1.0,8544242.0,0.0,118.0
49,128.0,52.0,2.0,1.0,8544214.0,0.0,130.0
50,140.0,57.0,3.0,1.0,8544184.0,0.0,144.0
51,152.0,62.0,3.0,1.0,8544151.0,0.0,158.0
52,166.0,67.0,3.0,1.0,8544115.0,0.0,174.0
53,182.0,74.0,3.0,1.0,8544076.0,0.0,192.0
54,199.0,80.0,4.0,1.0,8544033.0,0.0,211.0
55,217.0,88.0,4.0,1.0,8543986.0,0.0,231.0
56,237.0,96.0,4.0,2.0,8543934.0,0.0,254.0
57,258.0,105.0,5.0,2.0,8543879.0,0.0,279.0
58,282.0,114.0,5.0,2.0,8543818.0,0.0,306.0
59,308.0,125.0,6.0,2.0,8543751.0,0.0,335.0
60,336.0,136.0,6.0,2.0,8543678.0,0.0,368.0
61,367.0,149.0,7.0,2.0,8543599.0,0.0,403.0
62,401.0,163.0,7.0,3.0,8543512.0,0.0,441.0
63,438.0,177.0,8.0,3.0,8543418.0,0.0,483.0
64,478.0,194.0,9.0,3.0,8543314.0,0.0,529.0
65,522.0,212.0,10.0,4.0,8543202.0,0.0,579.0
66,569.0,231.0,10.0,4.0,8543079.0,0.0,634.0
67,622.0,252.0,11.0,4.0,8542945.0,0.0,693.0
68,678.0,275.0,12.0,5.0,8542798.0,0.0,758.0
69,741.0,301.0,14.0,5.0,8542638.0,0.0,829.0
70,809.0,328.0,15.0,6.0,8542463.0,0.0,907.0
71,883.0,358.0,16.0,6.0,8542273.0,0.0,991.0
72,963.0,391.0,18.0,7.0,8542065.0,0.0,1084.0
73,1052.0,427.0,19.0,8.0,8541838.0,0.0,1184.0
74,1148.0,466.0,21.0,8.0,8541590.0,0.0,1294.0
75,1253.0,509.0,23.0,9.0,8541319.0,0.0,1414.0
76,1368.0,555.0,25.0,10.0,8541024.0,0.0,1546.0
77,1493.0,606.0,27.0,11.0,8540701.0,0.0,1689.0
78,1630.0,661.0,30.0,12.0,8540350.0,0.0,1845.0
79,1779.0,722.0,32.0,13.0,8539966.0,0.0,2015.0
80,1941.0,788.0,35.0,14.0,8539547.0,0.0,2201.0
81,2119.0,860.0,39.0,15.0,8539089.0,0.0,2404.0
82,2313.0,939.0,42.0,17.0,8538590.0,0.0,2626.0
83,2524.0,1025.0,46.0,18.0,8538045.0,0.0,2868.0
84,2755.0,1119.0,50.0,20.0,8537451.0,0.0,3132.0
85,3007.0,1221.0,55.0,22.0,8536802.0,0.0,3420.0
86,3282.0,1333.0,60.0,24.0,8536094.0,0.0,3735.0
87,3581.0,1455.0,65.0,26.0,8535321.0,0.0,4078.0
88,3908.0,1588.0,71.0,29.0,8534478.0,0.0,4453.0
89,4265.0,1733.0,78.0,31.0,8533558.0,0.0,4862.0
90,4655.0,1891.0,85.0,34.0,8532554.0,0.0,5308.0
91,5079.0,2064.0,93.0,37.0,8531459.0,0.0,5795.0
92,5542.0,2252.0,101.0,41.0,8530264.0,0.0,6327.0
93,6048.0,2458.0,110.0,44.0,8528960.0,0.0,6906.0
94,6599.0,2682.0,120.0,49.0,8527538.0,0.0,7539.0
95,7200.0,2927.0,131.0,53.0,8525986.0,0.0,8230.0
96,7855.0,3193.0,143.0,58.0,8524294.0,0.0,8983.0
97,8570.0,3485.0,156.0,63.0,8522448.0,0.0,9805.0
98,9349.0,3802.0,171.0,69.0,8520434.0,0.0,10702.0
99,10198.0,4148.0,186.0,75.0,8518238.0,0.0,11681.0
100,11124.0,4526.0,203.0,82.0,8515843.0,0.0,12748.0
101,12133.0,4937.0,222.0,90.0,8513232.0,0.0,13913.0
102,13233.0,5386.0,242.0,98.0,8510385.0,0.0,15183.0
103,14431.0,5875.0,264.0,107.0,8507281.0,0.0,16569.0
104,15736.0,6408.0,288.0,117.0,8503898.0,0.0,18080.0
105,17158.0,6990.0,314.0,127.0,8500210.0,0.0,19728.0
106,23266.0,7821.0,343.0,139.0,8491332.0,0.0,21625.0
107,31202.0,9170.0,378.0,152.0,8479649.0,0.0,23976.0
108,41548.0,11154.0,423.0,166.0,8464282.0,0.0,26953.0
109,55059.0,13935.0,483.0,182.0,8444091.0,0.0,30778.0
110,72694.0,17729.0,562.0,200.0,8417607.0,0.0,35735.0
111,95673.0,22821.0,669.0,222.0,8382950.0,0.0,42192.0
112,125515.0,29579.0,813.0,248.0,8337750.0,0.0,50621.0
113,164090.0,38473.0,1005.0,280.0,8279051.0,0.0,61628.0
114,213627.0,50091.0,1261.0,320.0,8203245.0,0.0,75983.0
115,276698.0,65159.0,1598.0,371.0,8106051.0,0.0,94650.0
116,356113.0,84542.0,2041.0,435.0,7982570.0,0.0,118826.0
117,454697.0,109243.0,2619.0,517.0,7827487.0,0.0,149965.0
118,574910.0,140363.0,3367.0,623.0,7635480.0,0.0,189784.0
119,718290.0,179035.0,4328.0,759.0,7401865.0,0.0,240251.0
120,884749.0,226299.0,5549.0,934.0,7123474.0,0.0,303522.0
121,1071852.0,282935.0,7086.0,1158.0,6799663.0,0.0,381834.0
122,1274307.0,349265.0,8994.0,1443.0,6433185.0,0.0,477334.0
123,1483932.0,424944.0,11327.0,1805.0,6030643.0,0.0,591876.0
124,1690295.0,508825.0,14134.0,2260.0,5602217.0,0.0,726797.0
125,1882017.0,598918.0,17449.0,2825.0,5160592.0,0.0,882725.0
126,2048432.0,692503.0,21291.0,3522.0,4719319.0,0.0,1059461.0
127,2181130.0,786370.0,25652.0,4369.0,4291054.0,0.0,1255952.0
128,2274971.0,877148.0,30504.0,5386.0,3886148.0,0.0,1470369.0
129,2328350.0,961645.0,35789.0,6593.0,3511888.0,0.0,1700262.0
130,2342805.0,1037126.0,41430.0,8005.0,3172413.0,0.0,1942749.0
131,2322217.0,1101500.0,47332.0,9636.0,2869117.0,0.0,2194725.0
132,2271887.0,1153402.0,53388.0,11495.0,2601313.0,0.0,2453042.0
133,2197699.0,1192174.0,59487.0,13590.0,2366920.0,0.0,2714657.0
134,2105485.0,1217792.0,65516.0,15920.0,2163071.0,0.0,2976743.0
135,2000605.0,1230744.0,71370.0,18485.0,1986568.0,0.0,3236755.0
136,1887725.0,1231905.0,76952.0,21277.0,1834191.0,0.0,3492476.0
137,1770731.0,1222417.0,82179.0,24287.0,1702890.0,0.0,3742024.0
138,1652739.0,1203573.0,86979.0,27502.0,1589884.0,0.0,3983850.0
139,1536162.0,1176735.0,91298.0,30906.0,1492702.0,0.0,4216724.0
140,1422801.0,1143259.0,95095.0,34480.0,1409187.0,0.0,4439704.0
141,1313943.0,1104448.0,98345.0,38207.0,1337474.0,0.0,4652111.0
142,1210455.0,1061516.0,101033.0,42064.0,1275965.0,0.0,4853494.0
143,1112871.0,1015567.0,103157.0,46031.0,1223297.0,0.0,5043604.0
144,1021467.0,967582.0,104726.0,50087.0,1178308.0,0.0,5222357.0
145,936319.0,918420.0,105758.0,54210.0,1140010.0,0.0,5389811.0
146,857360.0,868815.0,106274.0,58379.0,1107559.0,0.0,5546139.0
147,784414.0,819387.0,106305.0,62575.0,1080239.0,0.0,5691606.0
148,717235.0,770645.0,105884.0,66779.0,1057434.0,0.0,5826549.0
149,655527.0,723005.0,105047.0,70974.0,1038617.0,0.0,5951359.0
150,598965.0,676790.0,103831.0,75142.0,1023334.0,0.0,6066465.0
151,547213.0,632251.0,102275.0,79269.0,1011195.0,0.0,6172325.0
