,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,377995.0,89404.0,2026.0,261.0,7965798.0,0.0,109043.0
62,481995.0,115644.0,2649.0,343.0,7801819.0,0.0,142076.0
63,608319.0,148611.0,3453.0,451.0,7599412.0,0.0,184281.0
64,758213.0,189442.0,4480.0,591.0,7354106.0,0.0,237694.0
65,931097.0,239150.0,5782.0,773.0,7063202.0,0.0,304523.0
66,1123853.0,298437.0,7413.0,1007.0,6726798.0,0.0,387020.0
67,1330397.0,367487.0,9430.0,1306.0,6348604.0,0.0,487302.0
68,1541799.0,445769.0,11888.0,1686.0,5936249.0,0.0,607136.0
69,1747111.0,531916.0,14831.0,2163.0,5500795.0,0.0,747711.0
70,1934823.0,623719.0,18292.0,2757.0,5055472.0,0.0,909464.0
71,2094572.0,718278.0,22284.0,3486.0,4613929.0,0.0,1091977.0
72,2218616.0,812278.0,26793.0,4373.0,4188486.0,0.0,1293981.0
73,2302675.0,902324.0,31783.0,5435.0,3788856.0,0.0,1513454.0
74,2346009.0,985285.0,37192.0,6692.0,3421555.0,0.0,1747794.0
75,2350889.0,1058551.0,42937.0,8158.0,3089974.0,0.0,1994018.0
76,2321714.0,1120199.0,48917.0,9848.0,2794881.0,0.0,2248967.0
77,2264082.0,1169040.0,55025.0,11769.0,2535127.0,0.0,2509484.0
78,2183987.0,1204588.0,61146.0,13926.0,2308328.0,0.0,2772550.0
79,2087232.0,1226967.0,67170.0,16321.0,2111449.0,0.0,3035387.0
80,1979061.0,1236789.0,72991.0,18950.0,1941219.0,0.0,3295517.0
81,1837811.0,1233764.0,78509.0,21805.0,1822479.0,0.0,3550158.0
82,1699735.0,1218451.0,83620.0,24875.0,1721004.0,0.0,3796842.0
83,1566704.0,1192982.0,88237.0,28145.0,1634313.0,0.0,4034145.0
84,1439991.0,1159330.0,92302.0,31595.0,1560299.0,0.0,4261011.0
85,1320398.0,1119278.0,95775.0,35204.0,1497176.0,0.0,4476697.0
86,1208359.0,1074408.0,98638.0,38950.0,1443441.0,0.0,4680731.0
87,1104034.0,1026106.0,100888.0,42810.0,1397820.0,0.0,4872869.0
88,1007375.0,975561.0,102535.0,46760.0,1359242.0,0.0,5053054.0
89,918189.0,923784.0,103600.0,50778.0,1326796.0,0.0,5221380.0
90,836178.0,871617.0,104112.0,54841.0,1299711.0,0.0,5378067.0
91,760982.0,819753.0,104106.0,58927.0,1277329.0,0.0,5523429.0
92,692197.0,768750.0,103622.0,63018.0,1259087.0,0.0,5657854.0
93,629401.0,719048.0,102700.0,67094.0,1244503.0,0.0,5781781.0
94,572166.0,670988.0,101385.0,71138.0,1233161.0,0.0,5895690.0
95,520069.0,624821.0,99720.0,75135.0,1224699.0,0.0,6000084.0
96,481050.0,581122.0,97750.0,79071.0,1209857.0,0.0,6095677.0
97,444752.0,540238.0,95526.0,82934.0,1197865.0,0.0,6183211.0
98,411061.0,502009.0,93096.0,86715.0,1188440.0,0.0,6263206.0
99,379850.0,466287.0,90501.0,90405.0,1181328.0,0.0,6336156.0
100,350982.0,432935.0,87776.0,93998.0,1176308.0,0.0,6402529.0
101,324315.0,401819.0,84955.0,97488.0,1173183.0,0.0,6462768.0
102,299706.0,372815.0,82064.0,100872.0,1171777.0,0.0,6517293.0
103,277017.0,345802.0,79129.0,104145.0,1171935.0,0.0,6566498.0
104,256111.0,320664.0,76171.0,107308.0,1173517.0,0.0,6610757.0
105,236857.0,297290.0,73209.0,110357.0,1176398.0,0.0,6650417.0
106,219131.0,275572.0,70259.0,113292.0,1180464.0,0.0,6685809.0
107,202816.0,255408.0,67335.0,116115.0,1185616.0,0.0,6717238.0
108,187801.0,236698.0,64450.0,118825.0,1191760.0,0.0,6744993.0
109,173983.0,219349.0,61614.0,121423.0,1198814.0,0.0,6769343.0
110,161267.0,203271.0,58836.0,123911.0,1206703.0,0.0,6790539.0
111,149563.0,188379.0,56122.0,126291.0,1215358.0,0.0,6808813.0
112,138789.0,174591.0,53479.0,128565.0,1224717.0,0.0,6824385.0
113,128868.0,161831.0,50912.0,130737.0,1234723.0,0.0,6837457.0
114,119731.0,150027.0,48424.0,132807.0,1245323.0,0.0,6848216.0
115,111312.0,139110.0,46018.0,134779.0,1256470.0,0.0,6856837.0
116,103553.0,129016.0,43697.0,136657.0,1268121.0,0.0,6863483.0
117,96400.0,119686.0,41461.0,138443.0,1280235.0,0.0,6868303.0
118,89801.0,111062.0,39310.0,140140.0,1292775.0,0.0,6871438.0
119,83712.0,103094.0,37246.0,141752.0,1305708.0,0.0,6873015.0
120,78091.0,95730.0,35268.0,143281.0,1319002.0,0.0,6873154.0
121,72898.0,88927.0,33374.0,144732.0,1332629.0,0.0,6871967.0
122,68100.0,82640.0,31564.0,146107.0,1346562.0,0.0,6869554.0
123,63664.0,76832.0,29836.0,147409.0,1360776.0,0.0,6866010.0
124,59560.0,71464.0,28189.0,148642.0,1375250.0,0.0,6861424.0
125,55761.0,66504.0,26619.0,149808.0,1389961.0,0.0,6855874.0
126,52244.0,61919.0,25126.0,150911.0,1404891.0,0.0,6849437.0
127,48985.0,57681.0,23706.0,151953.0,1420021.0,0.0,6842180.0
128,45965.0,53762.0,22358.0,152938.0,1435336.0,0.0,6834168.0
129,43163.0,50139.0,21079.0,153868.0,1450820.0,0.0,6825459.0
130,40562.0,46787.0,19867.0,154746.0,1466458.0,0.0,6816108.0
131,38148.0,43686.0,18718.0,155574.0,1482237.0,0.0,6806165.0
132,35905.0,40815.0,17630.0,156356.0,1498145.0,0.0,6795676.0
133,33820.0,38158.0,16602.0,157092.0,1514171.0,0.0,6784684.0
134,31881.0,35697.0,15629.0,157787.0,1530303.0,0.0,6773229.0
135,30077.0,33418.0,14710.0,158442.0,1546533.0,0.0,6761347.0
136,28397.0,31305.0,13843.0,159058.0,1562851.0,0.0,6749073.0
137,26832.0,29347.0,13024.0,159639.0,1579248.0,0.0,6736437.0
138,25374.0,27531.0,12252.0,160187.0,1595716.0,0.0,6723468.0
139,24014.0,25846.0,11524.0,160702.0,1612248.0,0.0,6710193.0
140,22745.0,24282.0,10838.0,161187.0,1628838.0,0.0,6696637.0
141,21561.0,22829.0,10192.0,161643.0,1645478.0,0.0,6682823.0
142,20454.0,21480.0,9584.0,162073.0,1662163.0,0.0,6668772.0
143,19421.0,20227.0,9011.0,162477.0,1678888.0,0.0,6654503.0
144,18454.0,19061.0,8473.0,162858.0,1695646.0,0.0,6640035.0
