,Infected asymptomatic,Infected symptomatic,Critical Cases,Deceased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,4.0,1.0,0.0,0.0,8544521.0,0.0,1.0
22,4.0,1.0,0.0,0.0,8544520.0,0.0,1.0
23,4.0,1.0,0.0,0.0,8544520.0,0.0,2.0
24,4.0,2.0,0.0,0.0,8544519.0,0.0,2.0
25,5.0,2.0,0.0,0.0,8544518.0,0.0,2.0
26,5.0,2.0,0.0,0.0,8544517.0,0.0,3.0
27,5.0,2.0,0.0,0.0,8544516.0,0.0,3.0
28,5.0,2.0,0.0,0.0,8544516.0,0.0,4.0
29,5.0,2.0,0.0,0.0,8544515.0,0.0,5.0
30,6.0,3.0,0.0,0.0,8544514.0,0.0,5.0
31,6.0,3.0,0.0,0.0,8544513.0,0.0,6.0
32,6.0,3.0,0.0,0.0,8544512.0,0.0,6.0
33,6.0,3.0,0.0,0.0,8544511.0,0.0,7.0
34,6.0,3.0,0.0,0.0,8544509.0,0.0,8.0
35,7.0,3.0,0.0,0.0,8544508.0,0.0,9.0
36,7.0,3.0,0.0,0.0,8544507.0,0.0,9.0
37,7.0,4.0,0.0,0.0,8544506.0,0.0,10.0
38,7.0,4.0,0.0,0.0,8544505.0,0.0,11.0
39,8.0,4.0,0.0,0.0,8544503.0,0.0,12.0
40,8.0,4.0,0.0,0.0,8544502.0,0.0,13.0
41,8.0,4.0,0.0,0.0,8544500.0,0.0,14.0
42,9.0,4.0,0.0,0.0,8544499.0,0.0,15.0
43,9.0,5.0,0.0,0.0,8544497.0,0.0,16.0
44,9.0,5.0,0.0,0.0,8544496.0,0.0,17.0
45,10.0,5.0,0.0,0.0,8544494.0,0.0,18.0
46,10.0,5.0,0.0,0.0,8544493.0,0.0,19.0
47,10.0,5.0,0.0,0.0,8544491.0,0.0,20.0
48,11.0,6.0,0.0,0.0,8544489.0,0.0,21.0
49,11.0,6.0,0.0,0.0,8544487.0,0.0,22.0
50,12.0,6.0,0.0,0.0,8544485.0,0.0,24.0
51,12.0,6.0,0.0,0.0,8544483.0,0.0,25.0
52,12.0,6.0,0.0,0.0,8544481.0,0.0,27.0
53,13.0,7.0,0.0,0.0,8544479.0,0.0,28.0
54,13.0,7.0,0.0,0.0,8544477.0,0.0,29.0
55,14.0,7.0,0.0,0.0,8544474.0,0.0,31.0
56,14.0,7.0,0.0,0.0,8544472.0,0.0,33.0
57,15.0,8.0,0.0,0.0,8544469.0,0.0,34.0
58,15.0,8.0,0.0,0.0,8544467.0,0.0,36.0
59,16.0,8.0,1.0,0.0,8544464.0,0.0,38.0
60,17.0,9.0,1.0,0.0,8544461.0,0.0,40.0
61,17.0,9.0,1.0,0.0,8544459.0,0.0,42.0
62,18.0,9.0,1.0,0.0,8544456.0,0.0,44.0
63,18.0,10.0,1.0,0.0,8544452.0,0.0,46.0
64,19.0,10.0,1.0,0.0,8544449.0,0.0,48.0
65,20.0,10.0,1.0,0.0,8544446.0,0.0,50.0
66,21.0,11.0,1.0,0.0,8544443.0,0.0,52.0
67,21.0,11.0,1.0,0.0,8544439.0,0.0,55.0
68,22.0,11.0,1.0,1.0,8544435.0,0.0,57.0
69,23.0,12.0,1.0,1.0,8544432.0,0.0,60.0
70,24.0,12.0,1.0,1.0,8544428.0,0.0,62.0
71,24.0,13.0,1.0,1.0,8544424.0,0.0,65.0
72,25.0,13.0,1.0,1.0,8544419.0,0.0,68.0
73,26.0,14.0,1.0,1.0,8544415.0,0.0,71.0
74,27.0,14.0,1.0,1.0,8544410.0,0.0,74.0
75,28.0,15.0,1.0,1.0,8544406.0,0.0,77.0
76,29.0,15.0,1.0,1.0,8544401.0,0.0,80.0
77,30.0,16.0,1.0,1.0,8544396.0,0.0,83.0
78,31.0,16.0,1.0,1.0,8544391.0,0.0,87.0
79,32.0,17.0,1.0,1.0,8544385.0,0.0,90.0
80,34.0,17.0,1.0,1.0,8544380.0,0.0,94.0
81,35.0,18.0,1.0,1.0,8544374.0,0.0,98.0
82,36.0,19.0,1.0,1.0,8544368.0,0.0,102.0
83,37.0,19.0,1.0,1.0,8544362.0,0.0,106.0
84,39.0,20.0,1.0,1.0,8544355.0,0.0,110.0
85,40.0,21.0,1.0,1.0,8544349.0,0.0,115.0
86,42.0,22.0,1.0,1.0,8544342.0,0.0,119.0
87,43.0,22.0,1.0,1.0,8544335.0,0.0,124.0
88,45.0,23.0,1.0,1.0,8544327.0,0.0,129.0
89,46.0,24.0,2.0,1.0,8544320.0,0.0,134.0
90,48.0,25.0,2.0,1.0,8544312.0,0.0,140.0
91,50.0,26.0,2.0,1.0,8544304.0,0.0,145.0
92,51.0,27.0,2.0,1.0,8544295.0,0.0,151.0
93,53.0,28.0,2.0,2.0,8544286.0,0.0,157.0
94,55.0,29.0,2.0,2.0,8544277.0,0.0,163.0
95,57.0,30.0,2.0,2.0,8544268.0,0.0,169.0
96,59.0,31.0,2.0,2.0,8544258.0,0.0,176.0
97,61.0,32.0,2.0,2.0,8544248.0,0.0,182.0
98,64.0,33.0,2.0,2.0,8544237.0,0.0,189.0
99,66.0,34.0,2.0,2.0,8544226.0,0.0,197.0
100,68.0,35.0,2.0,2.0,8544215.0,0.0,204.0
101,71.0,37.0,2.0,2.0,8544203.0,0.0,212.0
102,73.0,38.0,2.0,2.0,8544191.0,0.0,220.0
103,76.0,39.0,2.0,2.0,8544179.0,0.0,228.0
104,79.0,41.0,3.0,2.0,8544166.0,0.0,237.0
105,81.0,42.0,3.0,2.0,8544152.0,0.0,246.0
106,84.0,44.0,3.0,3.0,8544139.0,0.0,255.0
107,87.0,45.0,3.0,3.0,8544124.0,0.0,265.0
108,90.0,47.0,3.0,3.0,8544109.0,0.0,275.0
109,94.0,49.0,3.0,3.0,8544094.0,0.0,285.0
110,97.0,50.0,3.0,3.0,8544078.0,0.0,296.0
111,100.0,52.0,3.0,3.0,8544061.0,0.0,307.0
112,104.0,54.0,3.0,3.0,8544044.0,0.0,318.0
113,108.0,56.0,4.0,3.0,8544026.0,0.0,330.0
114,112.0,58.0,4.0,3.0,8544008.0,0.0,342.0
115,116.0,60.0,4.0,4.0,8543989.0,0.0,355.0
116,120.0,62.0,4.0,4.0,8543969.0,0.0,368.0
117,124.0,64.0,4.0,4.0,8543949.0,0.0,382.0
118,129.0,67.0,4.0,4.0,8543927.0,0.0,396.0
119,133.0,69.0,4.0,4.0,8543905.0,0.0,411.0
120,138.0,72.0,4.0,4.0,8543883.0,0.0,426.0
121,143.0,74.0,5.0,4.0,8543859.0,0.0,442.0
122,148.0,77.0,5.0,5.0,8543835.0,0.0,458.0
123,153.0,80.0,5.0,5.0,8543809.0,0.0,475.0
124,159.0,82.0,5.0,5.0,8543783.0,0.0,492.0
125,165.0,85.0,5.0,5.0,8543756.0,0.0,511.0
126,171.0,88.0,6.0,5.0,8543728.0,0.0,529.0
127,177.0,92.0,6.0,6.0,8543699.0,0.0,549.0
128,183.0,95.0,6.0,6.0,8543669.0,0.0,569.0
129,190.0,98.0,6.0,6.0,8543637.0,0.0,590.0
130,196.0,102.0,6.0,6.0,8543605.0,0.0,611.0
131,203.0,105.0,7.0,6.0,8543572.0,0.0,634.0
132,211.0,109.0,7.0,7.0,8543537.0,0.0,657.0
133,218.0,113.0,7.0,7.0,8543501.0,0.0,681.0
134,226.0,117.0,7.0,7.0,8543464.0,0.0,706.0
135,234.0,121.0,8.0,7.0,8543425.0,0.0,731.0
136,243.0,126.0,8.0,8.0,8543385.0,0.0,758.0
137,251.0,130.0,8.0,8.0,8543344.0,0.0,786.0
138,260.0,135.0,8.0,8.0,8543301.0,0.0,814.0
139,270.0,140.0,9.0,9.0,8543256.0,0.0,844.0
140,279.0,145.0,9.0,9.0,8543210.0,0.0,875.0
141,386.0,154.0,9.0,9.0,8543060.0,0.0,908.0
142,524.0,173.0,10.0,10.0,8542860.0,0.0,950.0
143,705.0,204.0,10.0,10.0,8542596.0,0.0,1001.0
144,942.0,250.0,11.0,10.0,8542247.0,0.0,1067.0
145,1255.0,313.0,12.0,11.0,8541783.0,0.0,1152.0
146,1667.0,401.0,14.0,11.0,8541170.0,0.0,1264.0
147,2211.0,519.0,16.0,12.0,8540358.0,0.0,1410.0
148,2931.0,678.0,20.0,12.0,8539283.0,0.0,1603.0
149,3882.0,889.0,24.0,13.0,8537860.0,0.0,1858.0
150,5140.0,1171.0,30.0,14.0,8535977.0,0.0,2196.0
151,6803.0,1544.0,38.0,15.0,8533485.0,0.0,2642.0
152,9001.0,2039.0,48.0,17.0,8530189.0,0.0,3233.0
153,11907.0,2694.0,62.0,19.0,8525831.0,0.0,4015.0
154,15744.0,3561.0,81.0,21.0,8520071.0,0.0,5049.0
155,20811.0,4707.0,106.0,25.0,8512463.0,0.0,6416.0
156,27493.0,6221.0,139.0,29.0,8502421.0,0.0,8225.0
157,36295.0,8220.0,182.0,34.0,8489181.0,0.0,10614.0
158,47875.0,10856.0,240.0,42.0,8471745.0,0.0,13769.0
159,63075.0,14329.0,317.0,52.0,8448824.0,0.0,17931.0
160,82975.0,18895.0,417.0,65.0,8418758.0,0.0,23416.0
161,108939.0,24887.0,550.0,82.0,8379435.0,0.0,30635.0
